HeadwordID	Headword	HomonymNumberID	WordClassID	SenseNumberID	Definition
26670	casing	18	1	1	 the casing industry now uses a lot of synthetics; sausage skin(s), looked at esp. from manufacturers' or bulk point of view: <i>a casing manufacturer</i>; a butcher might say: I'm running out of casings, have to order some more. Guts are sold as sausage casings; the consumer of sausages would more usually speak of <i>sausage skins</i>
29437	tchaik	1	1	1	 the Chatham Island taiko <i>Pterodroma magentae</I> 
17438	flax	11	1	25	 the fibre of a <i>Phormium</i> spp., here <i>P. colensoi </i>
24153	willowherb	1	1	1	, <i>Epilobium rotundifolium </i>
37549	wild birch	1	1	1	? <i>Gaultheria</i> spp.; snowberry cf false beech
20983	hutu	19	1	1	? <i>Nothofagus </i>Williams)
40229	scrub hen	1	1	1	? <I>Porzana pusilla</I>
36623	pukatuola	1	1	1	? =?<i>[punga]/ [?pungu] tuoro </I>
25486	kupu	1	1	1	? error for <i>puku</i>
1140	southerly buster	11	1	1	? orig Canterbury, but general South Island and Cook Strait. see esp. buster, and see butt=ender; see also south-easter, souther, southern buster, sou'west buster, threeday sou'wester Acland's note and description (1933) applies (also CR. 68): A strong wind with rain, snow or sleet from a southerly direction. The ordinary man in the paddock in Canterbury recognises only three winds: <i> East </i> (from N.E.),<i> sou'wester </i> (from S.E., S. etc, S.W. etc), and nor'wester. <i> As a matter of fact a three-day so'wester usually only lasts two and a half. They are said to be less fierce than in the early days, just as the nor'wester is said to have been softened by the planting on the plains. It may be so in Christchurch </i>; but I cannot say I notice any difference up-country. The <i> nor'</i> wester <i> may come from any where between due north and due west. In such places as Hororata, where the wind can get at you between two gorges a distinction is made between a Waimakariri and a Rakaia nor' wester; but both are called nor' westers. </i>
28758	go crook on	1	9	1	? to become angry with, to disapprove severely (the cit. may be <i>confusing</i> go crook on <i>with </i> go crook at). 
34550	peak	11	13	1	? to become exhausted; to fail. (? related to <i>peaky</i> `sickly': 
16044	grass tree	1	1	37	?? <i>Arundo conspicua</i> TOI TOI (? <i>D. uniflorum</i>, alpine variety); or (so JD) <i>Carex secta </i>niggerhead. [Check cit again] 
31410	twitch	11	1	37	?<i>A. stolonifera </i>
16854	ground fern	1	1	1	?<i>Asplenium bulbiferum. </i>
15975	grass	21	1	40	?<i>Poa caespitosa </i>
14583	nettle	1	1	25	?<i>Urtica incisa </i>
37540	totara birch	1	1	1	?=hard beech, <i>Nothofagus fusca</i> 
26060	kokihi	1	1	25	?=native spinach: contrast New Zealand spinach <i>T. tetragonioides </I>
23397	wattle jack	1	1	1	?=supplejack ?the term used by a person unfamiliar with the word <I>supplejack</I>, but familiar with the general English <I>wattle</I> `(interlaced) twigs' 
29021	taipo	1	1	59	?from a rough temper, or ? a rough frightening exterior; or merely as a <i>bushman</i>, humorously from <i>taipo</i>, the tree weta. Possibly, however, <i>whero (i) or (ii), but not likely) </i>
29823	ti mi	1	1	1	?tainui <I>Pomaderris apetala </I>
7464	bouncinette	1	1	1	"A metal frame with netting stretched over it and gently sloped so that a baby may recline or bounce in it. <i.Prop.</i>." (Macquarie 1981).
4963	tangata whenua	1	1	25	"people of the land", the indigenous people; the local people, the local residents of a particular place 
36202	mat time	1	1	1	"show and tell" time at kindergarten?
40785	remerchandise	1	13	1	"shuffling the shelves" - a Placemakers employee's definition
24392	wooden tongue	1	1	1	(? a general term for a cattle disease)
41569	skinner	19	12	1	(? an ellipsis of<i> a skinner</i>) = skinned 
22893	rush	11	13	1	(? in general sense of rush v)  
4460	Queenite	1	1	1	(? journalists' name for) a North Island Maori loyal to the Queen (Victoria)
16243	growler	11	1	1	(? London growler.)
27862	colonial blanket	1	1	1	(? merely descriptive) 
14256	New Zealandese	1	1	12	(? mistaken for an early, or mis-spelt, reference to Fr. neo-zelandais(e)
12743	jack	1	1	12	(? West Coast) (native) crow  (usu. saddleback, cf jackbird). 
40654	shakedown	18	1	1	(?) a taking down; a swindling or robbing  
34238	parekereke	1	1	1	(?) mistakes `seed-bed' for tree 
22002	ready up 	1	13	1	(?) to contrive (in an underhand way) {??here ?ready cash], to arrange illegally
14787	nugget	1	1	1	(?1892) a dumpy island or rock outcrop in the sea; (?1967) rocks set in water, having some vegetation (Stewart Island) a projecting rock or rocky islet or outcrop in the sea, or in a bay.
28647	crib	11	1	37	(?A `villa' or `detached' accommodation at a southern mental hospital or an isolated seaside bach.) 
17183	fireweed	1	1	12	(?Canterbury) 
18075	front	1	12	1	(?Canterbury) near(er) the coast: cf. front country 
11913	lip	1	1	12	(?cf whale, large-lipped
12653	up	1	17	1	(?early sailors' usage) with ref. to travel between NZ and Australia
4323	kawa	1	1	1	(?error for) kawe, swag strap
17703	fluff off	11	13	1	(?euphemism) to fart 
27006	check-shirt bird	1	1	1	(?female) shining cuckoo. 
42186	flash in the socket	1	9	1	(?from mining sense of socket: the hollow in which an unexploded charge lies)
10289	zambuk	1	1	1	(?mainly rugby union) a crowd-cry for first-aid attention for an injured player 
15690	grass	20	1	21	(?mainly South Island, or Canterbury and southern Marlborough <I>Agropyrum</i> spp., and <i>Elymus rectisetus. </i>
22510	rockfish	1	1	70	(?obs ?rare) parore; black fish @n2  -
12499	ironwood	1	1	48	(?occas. and local) Andersen
14364	niggerhead	11	1	1	(?rare) <i>Mariscus ustulatus </i>
10195	beaut	11	1	25	(?SI); often, esp. in Otago-Southland, the  collocation wee beaut is used idiomatically as a familiar term of admiration, encouragement, etc. where gen. NZ usage might prefer little beaut, see wee aj. 
13715	open	1	12	37	(?South Island) of land, without obstruction to title sc. not taken up by owners 
33122	mother whitebait	1	1	1	(?translation of a Maori term) smelt
16822	alpine shield fern	1	1	1	([?General descr. name ??omit] <i>Polystichum cystostegium</i> [get reference]  
42383	wild Spaniard	1	1	1	(<i> Aciphylla </i> spp.) <i> wild </i> perhaps from analogy with wild Irishman
19448	dusky plover	1	1	1	(<i>Charadrius obscurus</I>) New Zealand dotterel, tuturuwaka
18432	dandelion	1	1	25	(<I>Hypochaeris radicata</I>),  and hawkbit  (<I>Leontodon taraxacoides</I>) qqv.(?). 
25348	kelpfish	1	1	25	(<i>Odax pullus =Coridodax pullus, </I> Otago, ? obsolete) =butterfish, parrotfish,  spotty; also called southern kelpfish
879	woolly woofter	1	1	1	(1) a wimp (2) a passive homosexual (prison), a gay male, a drag queen, a transvestite; 
6645	how's your father	1	9	1	(1) rough play or fisticuffs 
6309	bludging	1	1	1	(1)(WWII period) appropriating, "borrowing", helping oneself, "liberating" (2)(post 1970) living off state benefits
6299	lumber	1	13	1	(1960 below) 'get', shoot? 
4476	colonial	1	1	1	(a beer)
1553	southern blue	1	1	1	(a butterfly)
40609	set	11	1	1	(a certain) tendency, habit 
43174	stingaree	11	1	37	(a child's fancy or mistaken hearing of ?STINGER, the red jellyfish; or Hyde's misapprehension or faulty memory 
38774	brown eye	1	1	1	(a display of) the anus (as an expression of contempt)
3608	boundary shepherd	1	1	1	(a dog)
2620	stone	1	1	1	(a drug's) effect
50377	fiddlehead	1	1	1	(a fish)
7768	Stick Chicks	1	1	1	(a fleeting nickname for) the NZ women's hockey team (now Black Sticks)
25197	talk and puha	1	9	1	(a heading) punning on pork and puha q.v.
11352	latrinogram	1	1	12	(A latrine) Rumour (overheard when sitting on the latrine). 
35363	pipe-clay	1	1	1	(a local Central Otago and Northland, a spec. use of general English sense) 
27390	bush clematis	1	1	1	(a native species)
31998	Maori Hen	1	1	1	(a nickname)
4331	Bill Masseys	1	1	1	(A pair of) NZ army boots
23670	whale	1	13	37	(a person or thing), to attack vigorously 
1520	Kauri Joe	1	1	1	(a person's (nick)name)
27828	cold country	1	1	25	(a play on Old Country) Britain
17415	lie like a flatfish	1	9	1	(a play on two meanings of lie)
30826	trapdoor spiders	1	1	1	(a recipe)
40875	shear	11	13	25	(a shed, a run, a mob) to complete shearing on 
1550	crayfish	1	1	1	(a transf. use of crayfish for any of various edible aquatic decapod crustaceans) any of several small freshwater varieties or large marine varieties of NZ crustacean. 
24807	kai Pakeha	1	1	1	(a variety of sweet potato)
4772	dandy	1	1	1	(a vehicle)
3509	ti-tree sawyer	1	1	1	(a weta)
36194	potato	1	1	12	(a. an orchid b. an old variety usu. a kidney grown from stock handed on by Maori people c. occas. (?Aust) poroporo) 
38858	broom	20	1	12	(a) <i>Notospartium carmichaeliae. </i>
41982	snag	1	1	1	(a) an adversary to be reckoned with. (b) something (or someone) disagreeable. 
34500	pav	1	1	1	(a) pavlova
9153	PSC	1	39	1	(a) Public Service Commission (b) Parliamentary Services Commission
10608	anchovy	1	1	12	(a) Scientific name: <I>Engraulis australis</I>. (b) Suggested commercial name[s]: Anchovy. (c) Other common names: the following names of related Clupeids and Engraulid fish are sometimes applied to anchovy - Herring, Sprat, Sardine, Pilchard, although the true Herring of European
6432	Uncle Willy	1	1	1	(a) silly (person)
6677	hoick	1	1	1	(a) spit; a gob of phlegm ca1935 (esp.schoolboys'). 
9986	alectryon 	1	1	1	(a). Alectryon excelsum.
17906	fossick	1	13	37	(absol.) to hunt, potter about 
43094	stick	1	1	1	(adolescents' ?local) sweets 
14355	nigger	1	1	37	(adolescents') as a term of address for an equal
12076	vulching	1	1	1	(adolescents') courting
2140	kumarahou	1	1	1	(aka gumdiggers' soap, poverty plant) Pomaderris elliptica, golden tainui, a common shrub of northern NZ whose crushed leaves can form a lather. 
34852	storm petrel	1	1	1	(aka Jesus Christ bird, skipjack, dancing dolly, (all from its apparent ability to `walk' on water), =takahikaremoana ) a very small black seabird with a white rump, which follows ships and whose appearance was thought to announce a coming storm. 
39626	bush gully	1	1	1	(Almost a literary cliche with Lancaster and others.) 
9783	aborigine	1	1	1	(also Aborigine) a Maori
10331	amber fluid	1	1	1	(also amber liquid, amber elliptical) beer.
50855	Tumatauenga	1	1	1	(also as Tu elliptical) the Maori god of war.
37476	bindweed	11	1	25	(also black bindweed, field bindweed)(1926 headword <i>convolvulus</i>; 1967 headword <i>bindweed</i>) 
37729	blood and treasure despatch	1	9	1	(also blood and money despatch) Grey's despatch accusing missionaries (and the Williams family in particular) of obtaining excessive Maori land. 
3113	wood pigeon	1	1	1	(also called kereru, kuku or kukupa) a large, beautiful and distinctively coloured New Zealand bush pigeon; the bird has rarely been called <i>bush-pigeon</i>: the early use of the general English <i>wood pigeon</i> probably precluding it 
21959	redroot	1	1	1	(also called redshank) either of two varieties of amaranth, found chiefly in the North Island. =amaranth, redshank, pig weed
5372	pipiwharauroa	1	1	1	(also called shining cuckoo, bronze-winged cuckoo) the smaller of the two migrant cuckoos that summer in New Zealand. 
10164	cark	1	13	1	(also cark it, cark out) die or falter
20540	Hokitika swindle	1	1	1	(also Hokitika ellipt.) a hotel bar game, orig. popularised on the West Coast (at Hokitika), but known throughout NZ.
31197	straight off the turnips	1	9	1	(also hot off...) exceedingly countrified, raw 
50853	leaky home	1	1	1	(also leaker) a private residence damaged by moisture penetration as a result of faulty construction.
41327	shoveler	1	1	1	(also New Zealand shoveler or chiefly in former use shoveller) a duck with shovel-like beak, Anas rhynchotis variegata (also called kuruwhengi, spoonbill).
2521	paepae	1	1	1	(also pae) the threshold beam of a meeting house; a bench to seat orators at the front of a meeting house. 
8831	perv	1	1	1	(also pervo) a person who watches another or others with erotic or sexual interest (AOD/NZOD distinguishes from a sexual pervert as such - valid?); the act of so watching; an illicit or lustful look; (more neutrally) a look (around)
2841	stumer	1	1	1	(also stoomer) a horse certain not to win (esp. in phr. run a stumer to run a losing race)
41303	shout	11	13	25	(Also to treat (a person)) 
23000	wag	1	13	1	(also wag it) to play truant or be absent from (school etc.)
2897	naughty	1	1	1	(An act of, a bout of) sexual intercourse;  esp.to have a naughty, with often a euphemistic,
43547	Highway Hero	1	1	1	(an award for bravery)
6151	burn	1	1	1	(an instance of) clearing bush, scrub, unpalatable grass, etc. from the land by means of fire to improve pasture or to bring into cultivation by clearing logs or bush.
12643	untold	1	17	1	(an intensifer) extremely
38619	Maori boy	1	1	1	(an often belittling term for) a Maori man 
37491	birch	1	1	1	(any of a group of deciduous, Northern Hemisphere trees with slender branches and smooth bark, used for timber.) In NZ commonly, but incorrectly, applied to the native beech spp.; a common popular name c1795-1970s for the trees and timber of <i>Nothofagus</i> spp., preferred common name beech q.v. Also occas. used for species of other general thought to resemble Nothofagus. occas. (usu. overseas usage) New Zealand birch.
6882	grass tree	1	1	2	(any of several varieties of New Zealand tree with long grasslike leaves) 1. cabbage tree
16748	feather	1	1	1	(any) money (esp. in negative expressions: not have a feather to fly with: to be broke or penniless)
37505	black birch	1	1	1	(applied to non-Nothofagus spp.) kamahi or tawhero
11218	lovely	1	12	1	(applied to people) good and kind
33842	punch	1	13	1	(applied to sheep rather than cows)
23169	warrior	1	1	1	(as applied to Maori)
23236	common warehou	1	1	1	(as blue warehou)
23076	wait on	1	13	1	(as command) wait, hang on 
27511	cobber	1	1	1	(as form of address) mate, sport
12327	be in	1	9	1	(as imperative) take one's full share of a round of drinks 
2477	braid	1	1	1	(as in a braided river)
14791	Nugget	1	1	1	(as nickname)
1405	NZ	1	39	1	(as noun) a New Zealand soldier
23910	wrought	1	13	1	(as participle) worked (of claims) 
10336	amo	1	1	1	(as pl.) upright supports of the lower ends of the maihi on the front gable of a house. 
9821	put on the acid	1	9	1	(as put the acid on, without object specified) 
50898	SH	1	39	1	(as SH1, SH2, etc.) STATE HIGHWAY.
23238	spotted warehou	1	1	1	(as silver warehou)
50872	Div	1	1	1	(as the Div) = Divvy
22083	Reinga	1	1	1	(as the/Te Reinga)
15447	good as grass	1	9	1	(as) good as grass; a proverbial catchphrase for anything very good, or to indicate agreement etc; formed prob, by analogy of the older As good as gold (see Apperson, 1843). -->ca1910 (Marlborough and elsewhere) eg. The baby's been as good as grass while you were away. `Well, you agree then?' `It's as good as grass' [= `I agree perfectly']  -->nf Apperson.
39493	but	1	17	1	(at end of sentence) however
2245	catcher	11	1	1	(attached to a lawnmower)
31912	Maori	1	1	1	(attrib. use) Maori(dom) as a field of study
1470	Fernleaf	1	1	1	(attrib. uses)
25195	kauri	1	1	1	(attrib. uses)
46546	pakihi	1	1	1	(attrib.) of pakihi land or swamp areas. 
9987	alectryon	1	1	1	(b). lofty alectryon, Alectryon excelsum. 
19676	carry	1	13	1	(be carrying) of stock, to be pregnant (with)
25703	kite high	1	9	1	(be driven/knocked) kite high: sky high, to the end of one's limit, etc.
37306	betwixt and betweens	1	1	1	(biscuit recipe)
39118	bumboy	11	1	12	(boarding schools spec.), a screw. 
14245	New Zealand Grammar	1	1	1	(book title)
33051	monkey grubber	1	1	1	(brand-name of Trewhella Bros. Pty Ltd, Trentham, Victoria) 
245	black singlet	1	1	1	(British) vest
5660	tataramoa	1	1	1	(bush-) lawyer, taramoa, New Zealand bramble 
39651	bush face	1	1	1	(bush, attrib. in sense of bushed `covered with bush') 
26307	kumara	1	1	1	(by metonymy) a Maori
37762	blackweed	1	1	1	(Canadian) Pondweed.
32537	merino	1	1	12	(capital) a sheep bred for fine wool 2. a soft yarn or fabric, originally one made from the wool of a merino. 
26692	Carpenter's Gothic	1	1	1	(cf. builder's, businessman's Gothic etc.) a degenerate architectural style. 
12652	up	1	17	1	(Chatham Islands) in phrase go up to New Zealand
11383	lark	1	1	1	(Chatham Islands) rock lark
7023	bro	1	1	1	(chiefly as a form of address, especially in M�ori English; compare the US use especially in Black English) brother, friend.
42815	squat	11	13	1	(chiefly early North Island, from orig US sense) to settle on an area of public land before acquiring a legal right to it. 
35746	point	20	1	1	(chiefly U.S.), such a feature on a river; the tapering extremity of any woodland reaching down into a prairie or other treeless area; any tapering extremity of land, or of rocks, woods, etc., constituting a special feature of this. 1637 in <i>Amer. Speech</i> (1940) XV.297/2 Easterly butting 
13085	echo	1	1	1	(children's game
11147	Yankee start	1	1	1	(children's) funking at ring marbles by trying to shoot illegally from within (rather than outside of) the ring ca1940 Havelock 
27375	clearing	1	1	48	(Clearing) as an early placename 
35050	pigeon-hole	1	13	1	(climbers')
1673	pluck	11	1	1	(coarse, dark) plug tobacco
9159	Cobb & Co	1	1	1	(Cobb and Co. never operated in NZ, but it was usual for coach-line proprietors to use the name Cobb and Co in the proprietary titles of their lines. J. Halket Millar, High Noon for Coaches (1954 (1965)) pp 40-41 discusses the coach and company name; a generic name in early NZ for a coach or coach-line, the latter mostly having no connection with the original proprietary Cobb and Co. )
5052	double-tailer	1	1	1	(coin)
13565	identity, the	1	1	1	(collective) a later shortened form of OLD IDENTITY
2056	taonga	1	1	1	(collective) goods, valuables; (in singular) a highly-prized (Maori) object or person etc.; a treasure.
3466	tussock	11	1	1	(collective) grassland of native tussock grasses. frequent early spg also <I>tussac</i>; also<i> tussuck</i>
40270	scrub bush	11	1	1	(collective) scrubby bush, scrub; tall scrub
35264	designer lettuce	1	1	1	(coloured) lettuce used for decorating food
28329	poor cow	1	1	1	(compassionate use)
36854	balloon	1	1	25	(confused with the general sense associated with beginning). 
17712	fluence	1	1	12	(constr. the fluence) a delicate or subtle influence 
12015	log hut	1	1	1	(contrast frame hut) 
7127	Pakehadom	1	1	1	(contrastive with Maoridom) 
4392	Pakehafied	1	12	1	(contrastive with Maorified) 
33978	Pakehatanga	1	1	1	(contrastive with Maoritanga)
7418	holocaust	1	1	1	(controversially) applied in NZ contexts, esp. to the Parihaka operation against Taranaki Maori
17213	fur	1	1	1	(courting) ?a sexual relationship
28864	cucumber fish	1	1	25	(cucumber) smelt
182	at the drop of a dag	1	9	1	(dag for hat)
22416	rob one's mother's coffin	1	9	1	(derogatory reference) 
33380	mud flats	1	1	1	(derogatory) a high-country farmer's epithet for lowland country or farms. -->highcountryman's for down country, =flats
48835	run-off	1	1	1	(dog trials) a dog's final run.
15630	bottlenose(d) grampus	1	1	1	(dolphin)
38820	brownie	20	1	1	(Dried-up) dwarf-dock
23374	shottie	11	1	1	(drug users') see Green quote (verb there) ??
8767	Weetbix	1	1	1	(drugs?)
1523	New Edinburgh	1	1	1	(Dunedin)
42215	Stewart Island	1	1	1	(early form STEWART'S ISLAND) 
23796	whiro	1	1	12	(early use) the devil 
29551	go butcher's	1	9	1	(elliptical for go butchers' hook, rhyming slang for look, crook) to become angry (with), go off (at); to reprimand severely, scold
30912	sweet as	1	9	1	(elliptical for sweet as you like etc.) very agreeable, excellent, she's sweet
17985	freezing	1	1	1	(employment in) the frozen meat industry
43666	matauranga 	1	1	1	(esp. as matauranga Maori) knowledge, learning
5035	rabbit	1	13	1	(esp. as rabbiting verbal noun) (in rugby) carry a grounded ball illegally over the try line 
21493	range	1	1	1	(esp. as the ranges) mountainous or high country not necessarily forming a single divide
7182	by hokey	1	23	1	(esp. associated from the 1950s with Selwyn Toogood) also  
436	Big Smoke	1	1	1	(esp. from a rural perspective) any big town or city
39964	scale	1	1	1	(esp. in phr. do a scale) a hurried departure (often to avoid reponsibilities or debts)  
31863	manuka stick	1	1	1	(esp. used for garden stakes etc.) 
21231	hurdy-gurdy	1	1	25	(esp.something which revolves). 
42953	standover	1	12	1	(especially in the phrase standover tactics, also standover man) bullying, intimidatory  
18772	dog collar	1	1	1	(excessive) froth on a handle or glass of beer
39466	bushed	18	12	25	(extended use) lost (anywhere) (possibly occas. bush C4, cf. bluffed a.). 
50244	whanaungatanga	1	1	1	(family) relationship, kinship
1153	sledge	1	1	1	(farm vehicle)
42222	stilts	1	1	1	(farmers') long plough handles 
39188	bunny	11	1	12	(female, widgie); Cuba Street Yank, (milkbar cowboy). ca1949-1950 for long-haired, curiously loudly dressed street-corner louts (with their female counterparts). 
17821	footing	1	1	1	(fencing) a foot or the material used for a foot
28741	crossbred	1	1	1	(fig. and transf.) 
16914	silver fern	1	1	25	(fig. and transf.) the  symbol of a New Zealand rugby union representative
18574	desert sore	1	1	25	(fig.) A medal (ribbon) (?Africa Star)?; ??a wound stripe.
11563	lolly	1	1	25	(fig.) sexual intercourse.
21713	lollies	1	1	1	(figurative use of lolly: a sweet) benefits
42423	crayfish pot	1	1	1	(figurative use)
49026	wool classing	1	1	25	(figurative use) the attacking of sheep by dogs 
291	flycatcher	1	1	1	(figurative)
2161	reef fish	1	1	1	(figurative)
3089	reef-fish	1	13	1	(figurative)
8367	chunder out	1	13	1	(figurative)
2221	lolly shop	1	1	25	(figurative) a brothel
33163	morepork	1	1	1	(figurative) a NI train 
4044	watermelon	1	1	1	(figurative) a politically impure greenie
2336	stud book	1	1	1	(figurative) a PSA book detailing employees' work history/status
50215	tarmac over	1	13	1	(figurative) bury (in a rut)
2878	bungy	1	13	1	(figurative) to drop
39529	bushwood	1	1	1	(Fire)Wood from felled bush trees
11461	lease	1	13	1	(flaxmilling term)
5041	rattle	1	1	1	(for sheep)
35873	poke	1	1	1	(for sweets) 
5097	cut out	1	13	1	(forestry)
26405	cabbage palm	1	1	1	(formerly <i>Areca sapida) areca </I> spp, nikau
36614	pukanui	1	1	25	(formerly <i>Pisonia brunoniana</i>, parapara 
36373	prime stock	1	1	1	(formerly called fat stock) meat animals ready for slaughter. 
814	tamarillo	1	1	1	(formerly in New Zealand called tree tomato) a bright red, subtropical fruit grown on a small tree. 
4012	tin-kettling	1	1	1	(formerly) a custom whereby a newly-wed couple are welcomed to their marriage home by noisy banging of kerosene (etc.) tins until they provide the tin-kettlers with refreshments. 
5236	Pakeha-Maori	1	1	1	(formerly) a European living as a Maori. 
36530	pub-stiff	1	1	1	(formerly) a person watching the door of a hotel after-hours, letting in approved customers and looking out for the police
4687	egg floor	1	1	1	(formerly) a place where eggs were graded and packed under Egg Marketing Regulations; the licensed marketing agent appointed by the Poultry Board in all egg marketing areas, to receive, grade and distribute eggs to retailing outlets. 
40675	shanty	11	1	25	(formerly) a rough, country inn, or a place selling sly grog.
230	scow	1	1	1	(formerly) in New Zealand, usually a sailing scow, any of various flat-bottomed centreboard craft engaged in coastal trade. ; in NZ always a `sailing scow' ;
46077	MAF	1	39	1	(formerly) Ministry of Agriculture and Fisheries; (now) Ministry of Agriculture and Forestry 
38216	board walker	1	1	25	(freezing works)
12151	venero	1	1	1	(friendship term)
26597	Cape	1	12	1	(from Cape of Good Hope) as a distinguishing epithet in plant and animal names, see blechnum, crassula, daisy, fern, fuchsia, honey flower, ivy, petrel, pondweed, tulip, see also Cape gooseberry, Cape hen, Cape weed. 
31841	coathanger	1	13	1	(from the noun's rugby sense)
77	Clayton's	1	1	1	(from the proprietary name of a hard-liquor substitute) Usu. attrib., indicating a pretence to or a largely unsuccessful imitation of the real thing
32123	marble orchard	1	1	1	(from US) a cemetery 
3730	divvy	1	1	1	(gambling) dividend
2860	kraut lid	1	1	1	(German-style) Steel helmet (as worn by gang member). 
22708	round	1	1	1	(goldmining) 
8374	production	1	1	1	(graffiti term)
8383	kill	1	13	1	(graffiti term)
9467	dub	1	1	1	(graffiti term)
1791	stripper	1	1	1	(grass-seed stripper)
11269	lush	1	1	1	(hard) liquor
33839	up to putty	1	9	1	(has had both positive and negative meanings i.e. used with or without 'not'; see Orsman and DNZE) (not) up to scratch
20962	hydraulic deal	1	1	1	(hire purchase)
19511	haddock	1	1	25	(hokoa), hoka red cod. 
3409	scratching	1	1	1	(horse racing term)
21725	ratpower	1	1	1	(humorous or ironic) of a weak engine etc, it's two etc ratpower (or occas. catpower) (R. Mason)  (play on horsepower) 
30858	Treaty trout	1	1	1	(humorous, for trout illegally taken)
22318	rising	1	1	1	(i.e. of a Court) 
146	New Zealand House	1	1	1	(i) (hist.) the London headquarters of the NZ Company. (ii) the building housing the NZ High Commission in London
15442	goo	1	1	12	(i) ca1941-43 Boarding school slang for a sticky dessert (semolina pudding etc).(ii) (local schoolboys') An institutional meal-food: ?often short for goulash. 
14297	Ngati	1	1	1	(i) occasionally used for the local people or tangata whenua: 'the Ngati have placed a temporary prohibition on the use of this road.' (ii) (transferred use) a brumby, wild Maori horse (chiefly of the central North Island plateau) 
39273	bush beer	1	1	1	(illicitly) home-brewed beer.
36402	Probert's (Hotel)	1	1	1	(in 19th c.) Auckland prison 
7294	ripper down	1	1	1	(in a freezing-works)
15093	gig	11	13	1	(in a sawmill)
34985	pieces bin	1	1	1	(in a woolshed)
26726	Captain Cook	1	1	1	(in allusive ref. to wild pigs allegedly descended from domestic pigs released by Captain Cook, according to a longstanding tradition or legend viz. [.ho;1840 Apr 25 Sarah Mathew Journal in 1940 Founding of NZ 128 We passed numerous traces of wild pigs [in Northland], which are said to be very numerous, the descendants of those left by Captain Cook.) 
47916	town milk	1	1	1	(in attrib. use) [of farms, farmers and herds] providing milk all year round for town consumption. 
39645	bush-cutting	1	1	2	(in cit.) ?track-cutting, cutting a path through bush. 
11384	sand lark	1	1	1	(in early and Chathams reference) sand lark = ground lark. 
21243	hut	1	1	25	(in early colonial use) a simple house, usually  having only one room.; (then) spec. (esp. in the mountain country) of trampers' and musterers' etc. huts, but cf and cp crib, shack, whare, cf daub and wattle hut. 
21242	hut	1	1	2	(in early European pre-settlement use) a Maori dwelling 
11023	lamington cake	1	1	1	(in early use) lamington
33720	paddock	1	1	1	(in flaxmilling) the drying green
